,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
duration,1.0,0.004258230269506582,0.0054395344782339995,-0.0004524024642072156,-0.003235033472079037,0.003785996539910306,0.013212927753622608,0.005238859915181378,-0.017265158275511033,0.05809501636780907,0.021339770053481966,0.05585344046325681,0.05676597485928125,0.0745617413191166,-0.0001691862137891275,0.02566120721973081,,,0.023423711172060966,-0.10515338141725447,-0.08024996284480387,-0.031415553166905384,-0.031377780036493955,0.01205330224451788,0.012106443540523962,0.021770860100166524,0.05180020847711098,-0.01178992850261072,0.010073842749600008,-0.117515081877108,-0.11845783449635297,0.4062326089413435,0.04264239637858996,-0.0069827181578601205,-0.0304002041715989,-0.030612353797975587,0.006739163147265062,0.010464637941725976
src_bytes,0.004258230269506582,1.0,-1.5967721493478707e-06,-2.0431908259143637e-05,-0.0001390378290979189,-5.013659716677487e-06,0.004482836433326445,-2.7391064748568797e-05,0.0017006498881350133,0.00011854439828134797,-2.1860023391220253e-05,-9.843453806715188e-06,-9.840747913693153e-06,1.3238666897090016e-05,4.6435340779846685e-06,-5.1855145337139585e-05,,,-8.231825925981874e-05,-0.0030980849999313652,-0.0025008336380371184,0.0015579733653914615,0.0011140127088300703,0.0005907502627801923,0.0013785900464042071,-0.0018595085376789562,0.006206799746186266,-1.5060652612137507e-05,-0.0017425808009189465,-0.0032119371856462403,-0.0020524666297713945,0.0005780170297363165,-0.0007237336196602508,0.0011855342257761324,-0.0007183112519009133,0.001122094994501364,-0.0003926914090884087,0.0013283577176615188
dst_bytes,0.0054395344782339995,-1.5967721493478707e-06,1.0,-0.00017542630925481426,-0.001254359747320755,0.016287603120570617,0.0043654949100132324,0.04932991584451051,0.047814260115436095,0.023297952057456304,0.031680117285183516,0.07565606476994736,0.020746249395151052,0.004957596020708939,0.00014378596595271601,0.008746417225098703,,,0.001288975316199572,-0.040372526823147036,-0.030544267755158085,-0.011907584980122765,-0.011930204567053836,-0.006166474919539262,-0.005807524354785678,0.014001816094549804,-0.005701937473504714,0.008135135111902884,-0.048868839989495726,-0.005849515868300909,0.007058366332403392,-0.005313954803846794,-0.020143346273131753,0.008706517609582968,-0.0113337321007918,-0.011234901298129865,-0.004999622425151451,-0.005470815886810593
land,-0.0004524024642072156,-2.0431908259143637e-05,-0.00017542630925481426,1.0,-0.0003184567273825517,-1.7160480601165532e-05,-0.000294537371698282,-6.528060355653045e-05,-0.002784094482710777,-3.789623105969373e-05,-7.041758418822025e-05,-3.120270356873158e-05,-3.7638156070243725e-05,-7.495637117403737e-05,-6.619346235347287e-05,-0.00018439864636214895,,,-0.00024866930878122235,-0.010259783721848229,-0.007886221357792314,0.013897682110643536,0.01442152152012574,-0.0007773020644116952,-0.0016592203836595142,0.0022863906883129263,0.0022818438042380073,0.03698497342170882,-0.023670711758200076,-0.01158720553128454,0.0019840774480186143,-0.00033295230106900525,0.0037986949324918507,0.08332005327295583,0.012657685211541777,0.007794684091653403,-0.0015109517007527071,-0.0016647774913263608
wrong_fragment,-0.003235033472079037,-0.0001390378290979189,-0.001254359747320755,-0.0003184567273825517,1.0,-0.00012271093447516776,-0.002106173886324583,-0.00046680766417351433,-0.019908465478371575,-0.0002709878606841545,-0.0005035411163620257,-0.0002231238740953521,-0.0002691424215116611,-0.0005359970134524392,-0.00047333532261266794,-0.0013185953667008755,,,-0.0017781811573367886,-0.06193448569003565,-0.04778863817408302,-0.013969174131710182,-0.022119282832831356,-0.01152932242141624,-0.011864730861050044,0.017416120536496837,-0.007076690010536893,0.0001527081546749483,-0.005190883919253926,-0.05862406467546159,-0.0549027835455943,0.0718570580973984,-0.03180271923321355,0.012092310775483887,-0.01909101903662703,-0.022104104013801678,0.0297739510131661,-0.011904468552005576
urgent,0.003785996539910306,-5.013659716677487e-06,0.016287603120570617,-1.7160480601165532e-05,-0.00012271093447516776,1.0,0.0003562051117551281,0.1419964300697715,0.0061637565491160584,0.01428464204494642,0.03479045048777432,-1.2023338129927439e-05,0.009476320095022327,0.015211468029546009,-2.5506327620406067e-05,0.020067977464334245,,,-9.581974765187811e-05,-0.003996724324692518,-0.003047339122527241,-0.001193391993182255,-0.001191928106164706,-0.0006376224543329192,-0.0006393474097801659,0.001380845977710101,-0.0006563502333136556,-0.0005236359392692178,-0.007139328701875447,-0.004540482167143085,-0.003278837680295271,0.010536047779095899,-0.00200238492126697,-0.00040791016623609915,-0.0011942351102395073,-0.0011911101745365688,-0.000648111591543901,-0.0006414887301422157
hot,0.013212927753622608,0.004482836433326445,0.0043654949100132324,-0.000294537371698282,-0.002106173886324583,0.0003562051117551281,1.0,0.008740464619823392,0.1053048829209889,0.0073483790733591065,0.02406480517059989,-0.00020636499024321314,0.000998400382890795,0.025247418091241723,0.006373167917126476,0.0019019887387739783,,,0.8435715365803926,-0.06845079688279249,-0.05216368504345986,-0.020264192458673114,-0.020217230202466702,-0.008304883236669213,-0.00582147790655913,0.022696804595246443,-0.0026856749310821687,0.001972919344278765,-0.026366422738514722,-0.03873029689689714,-0.02911696300643262,0.001319073460298427,-0.05292283579917907,-0.004467318453684916,-0.019490568464063586,-0.020200684070047457,-0.006540737908556355,-0.007748636755383801
num_failed_logins,0.005238859915181378,-2.7391064748568797e-05,0.04932991584451051,-6.528060355653045e-05,-0.00046680766417351433,0.1419964300697715,0.008740464619823392,1.0,-0.0011446470071647572,0.006907151602078257,0.036982897552802034,0.11711698488361641,0.003249757916453661,0.003948459109986865,-9.702924412603802e-05,0.0033048983478493684,,,-0.0003645102433158775,-0.01518445520568369,-0.011577631064099673,-0.0031694575416960037,-0.0038496046001463835,0.02516674536121081,0.025097960768481108,0.004580922336268483,0.0038496605929042834,-0.0019919762711695867,-0.025443695955748337,-0.015412981672840342,0.0005069204359821178,0.00101716811679392,-0.009564567168241465,0.016000678947512097,-0.0019453528452840479,-0.002452724414492507,0.024752809934010713,0.02358430471604902
logged_in,-0.017265158275511033,0.0017006498881350133,0.047814260115436095,-0.002784094482710777,-0.019908465478371575,0.0061637565491160584,0.1053048829209889,-0.0011446470071647572,1.0,0.013611690010893053,0.025292814100065574,0.011207487304220047,0.01351899380713481,0.026923070190152536,0.02377558044977921,0.0662328981675319,,,0.0893178411600158,-0.6346429441382591,-0.47812179856817605,-0.19169770206867398,-0.19111305973145282,-0.09913677054816736,-0.09437221420781679,0.21968481425629927,-0.07269211246009076,0.3306734121069212,-0.6210290531918581,0.1193145545398118,0.16106987029355982,-0.06115138323723598,-0.4615581454098522,0.14049294794304126,-0.19095498228608243,-0.19170388000504887,-0.09086819809108745,-0.08788542048154466
num_compromised,0.05809501636780907,0.00011854439828134797,0.023297952057456304,-3.789623105969373e-05,-0.0002709878606841545,0.01428464204494642,0.0073483790733591065,0.006907151602078257,0.013611690010893053,1.0,0.25555658491781263,0.7013997499488389,0.9938277978737944,0.010933598851062144,0.00934075089508624,0.41223818267642937,,,-0.00021160289047210724,-0.008792135446580977,-0.0067037659250646035,-0.0025967474893419037,-0.00261839014102478,-0.0010492045528447378,-0.0004777994160304596,0.003012063566963371,-0.0013378518428557998,0.0007703207132893525,-0.008360915029673668,-0.004796977917230358,-0.0025839987597916316,0.00035944927358939514,-0.006714532163093961,0.0006211854514516991,-0.001978377582710139,-0.0016309779290744435,-0.0008431376456647491,-0.0008729968962161024
