fc_date,fc_name,fc_var,fc_value
10/6/2021,jnahom,MAX,20.756
10/7/2021,jnahom,MAX,20.641
10/8/2021,jnahom,MAX,20.391
10/9/2021,jnahom,MAX,20.006
10/10/2021,jnahom,MAX,20.611
10/11/2021,jnahom,MAX,20.191
10/12/2021,jnahom,MAX,19.701
10/6/2021,jnahom,MIN,8.144
10/7/2021,jnahom,MIN,7.779
10/8/2021,jnahom,MIN,7.779
10/9/2021,jnahom,MIN,7.694
10/10/2021,jnahom,MIN,7.164
10/11/2021,jnahom,MIN,6.894
10/12/2021,jnahom,MIN,7.934
10/6/2021,jnahom,P_PRCP,0.526666667
10/7/2021,jnahom,P_PRCP,0.376666667
10/8/2021,jnahom,P_PRCP,0.426666667
10/9/2021,jnahom,P_PRCP,0.326666667
10/10/2021,jnahom,P_PRCP,0.376666667
10/11/2021,jnahom,P_PRCP,0.476666667
10/12/2021,jnahom,P_PRCP,0.476666667
